time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
127544.0,1360.040771484375,1.2569020986557007
127545.0,1359.9833984375,1.2829185724258423
127546.0,1360.065673828125,1.2404532432556152
127547.0,1359.9010009765625,1.2479723691940308
127548.0,1361.0015869140625,1.36947500705719
127549.0,1361.1357421875,1.3315445184707642
127550.0,1362.0972900390625,1.1946357488632202
127551.0,1361.7275390625,0.9968382120132446
127552.0,1361.08984375,0.8644484877586365
127553.0,1360.5343017578125,0.84928297996521
127554.0,1360.20361328125,0.9478126764297485
127555.0,1360.174560546875,1.0615954399108887
127556.0,1360.2486572265625,1.1544438600540161
127557.0,1360.2901611328125,1.2291902303695679
127558.0,1360.51708984375,1.2255171537399292
127559.0,1360.6165771484375,1.117756724357605
127560.0,1360.854736328125,0.9822995662689209
127561.0,1361.3436279296875,0.7762430310249329
127562.0,1362.357666015625,0.77972012758255
127563.0,1362.3458251953125,0.7024273872375488
127564.0,1362.276123046875,0.6364198923110962
127565.0,1361.75,0.6187219023704529
127566.0,1360.9974365234375,0.7330291867256165
127567.0,1360.59912109375,0.8025389313697815
127568.0,1361.0191650390625,0.8839046359062195
127569.0,1360.9298095703125,0.8987290263175964
127570.0,1361.163818359375,0.9050518274307251
127571.0,1361.494873046875,1.0216840505599976
127572.0,1361.4278564453125,0.9740215539932251
127573.0,1361.4935302734375,0.9159210920333862
127574.0,1362.4420166015625,0.8982774615287781
127575.0,1362.1431884765625,0.7068697214126587
127576.0,1362.5001220703125,0.7048026323318481
127577.0,1362.2396240234375,0.6659676432609558
127578.0,1362.157470703125,0.6803657412528992
127579.0,1361.978271484375,0.6900075674057007
127580.0,1361.9407958984375,0.6949983239173889
127581.0,1361.7789306640625,0.7426044344902039
127582.0,1361.820556640625,0.7263917922973633
127583.0,1362.3756103515625,0.9108988642692566
127584.0,1362.2279052734375,0.9642227292060852
127585.0,1362.421630859375,0.9491042494773865
127586.0,1361.587646484375,0.8501166701316833
127587.0,1361.4471435546875,0.87332683801651
127588.0,1361.7181396484375,0.7801051139831543
127589.0,1361.85400390625,0.714154839515686
127590.0,1362.5281982421875,0.6710084676742554
127591.0,1362.811279296875,0.6795333623886108
127592.0,1362.6590576171875,0.591866672039032
127593.0,1362.1170654296875,0.5146656036376953
127594.0,1361.960205078125,0.5581337213516235
127595.0,1361.5963134765625,0.6351219415664673
127596.0,1361.1248779296875,0.7586854100227356
127597.0,1360.7396240234375,1.0349255800247192
127598.0,1360.5146484375,1.1685782670974731
127599.0,1360.232421875,1.3868317604064941
